profile_id,city,monthly_income,monthly_expenses,liquid_savings,investment_value,existing_monthly_emi,risk_tolerance,required_emergency_months,target_purchase_month,home_price,expected_investment_return_annual,max_emi_to_income_ratio
P025,Pune,350000,210000,3000000,8000000,8000,balanced,9,18,10000000,0.095,0.38
P026,Mumbai,520000,215000,7600000,7100000,0,conservative,12,18,10000000,0.07,0.32
P027,Chennai,230000,130000,800000,11000000,0,conservative,12,12,10000000,0.07,0.32
P028,Mumbai,310000,175000,2000000,4600000,25000,balanced,9,12,10000000,0.095,0.38
P029,Mumbai,380000,230000,1800000,1500000,0,balanced,9,24,10000000,0.095,0.38
P030,Hyderabad,280000,155000,6400000,9700000,0,conservative,12,0,10000000,0.07,0.32
P031,Mumbai,380000,195000,5000000,5000000,18000,conservative,12,18,10000000,0.07,0.32
P032,Pune,380000,205000,2500000,6200000,8000,balanced,9,12,10000000,0.095,0.38
P033,Pune,440000,180000,7700000,10800000,25000,conservative,12,0,10000000,0.07,0.32
P034,Pune,280000,160000,4300000,9100000,0,growth,6,0,10000000,0.12,0.44
P035,Delhi NCR,210000,125000,7900000,9000000,0,balanced,9,18,10000000,0.095,0.38
P036,Delhi NCR,260000,105000,6400000,4300000,0,balanced,9,6,10000000,0.095,0.38
P037,Mumbai,400000,160000,8300000,5300000,0,conservative,12,6,10000000,0.07,0.32
P038,Delhi NCR,210000,90000,3600000,5000000,25000,balanced,9,18,10000000,0.095,0.38
P039,Chennai,270000,120000,1600000,10900000,0,balanced,9,12,10000000,0.095,0.38
P040,Hyderabad,480000,320000,800000,3100000,12000,balanced,9,24,10000000,0.095,0.38
P041,Hyderabad,250000,115000,8500000,9800000,0,balanced,9,24,10000000,0.095,0.38
P042,Hyderabad,250000,135000,8200000,9300000,12000,balanced,9,24,10000000,0.095,0.38
P043,Pune,170000,105000,2400000,9000000,0,conservative,12,18,10000000,0.07,0.32
P044,Pune,200000,90000,7600000,4000000,25000,balanced,9,6,10000000,0.095,0.38
P045,Bengaluru,330000,175000,6300000,10500000,25000,conservative,12,0,10000000,0.07,0.32
P046,Hyderabad,280000,115000,8300000,10500000,0,balanced,9,12,10000000,0.095,0.38
P047,Pune,280000,140000,6100000,9800000,18000,conservative,12,12,10000000,0.07,0.32
P048,Hyderabad,190000,85000,900000,6400000,0,conservative,12,6,10000000,0.07,0.32
P049,Bengaluru,180000,90000,3600000,6500000,25000,conservative,12,18,10000000,0.07,0.32
P050,Bengaluru,440000,300000,8000000,3400000,12000,balanced,9,6,10000000,0.095,0.38
P051,Hyderabad,300000,200000,6700000,8800000,0,conservative,12,12,10000000,0.07,0.32
P052,Chennai,600000,385000,2000000,4300000,25000,balanced,9,0,10000000,0.095,0.38
P053,Chennai,390000,210000,1600000,2900000,18000,balanced,9,24,10000000,0.095,0.38
P054,Pune,620000,360000,2200000,6000000,25000,balanced,9,18,10000000,0.095,0.38
P055,Delhi NCR,600000,330000,7100000,9900000,8000,balanced,9,24,10000000,0.095,0.38
P056,Chennai,350000,185000,3200000,9300000,25000,balanced,9,6,10000000,0.095,0.38
P057,Pune,180000,105000,3700000,3400000,0,conservative,12,12,10000000,0.07,0.32
P058,Pune,280000,190000,2400000,2200000,0,balanced,9,0,10000000,0.095,0.38
P059,Mumbai,590000,400000,3900000,5200000,0,growth,6,18,10000000,0.12,0.44
P060,Chennai,450000,175000,6100000,9900000,0,conservative,12,6,10000000,0.07,0.32
P061,Mumbai,480000,310000,4900000,2100000,8000,conservative,12,0,10000000,0.07,0.32
P062,Mumbai,650000,350000,1300000,3900000,25000,balanced,9,0,10000000,0.095,0.38
P063,Pune,300000,130000,7600000,3400000,18000,growth,6,18,10000000,0.12,0.44
P064,Pune,450000,215000,6500000,9700000,0,balanced,9,0,10000000,0.095,0.38
P065,Delhi NCR,340000,160000,900000,2100000,0,balanced,9,6,10000000,0.095,0.38
P066,Pune,630000,265000,3500000,5600000,0,balanced,9,6,10000000,0.095,0.38
P067,Delhi NCR,450000,215000,6400000,4300000,8000,balanced,9,12,10000000,0.095,0.38
P068,Delhi NCR,310000,150000,6400000,3500000,8000,balanced,9,0,10000000,0.095,0.38
P069,Bengaluru,650000,415000,7800000,8500000,0,balanced,9,18,10000000,0.095,0.38
P070,Hyderabad,550000,340000,7700000,5000000,0,balanced,9,6,10000000,0.095,0.38
P071,Mumbai,180000,95000,6000000,4600000,8000,balanced,9,18,10000000,0.095,0.38
P072,Chennai,260000,175000,3900000,1700000,25000,balanced,9,0,10000000,0.095,0.38
P073,Delhi NCR,260000,105000,5000000,7200000,18000,conservative,12,12,10000000,0.07,0.32
P074,Mumbai,380000,180000,3600000,2800000,25000,conservative,12,6,10000000,0.07,0.32
P075,Hyderabad,530000,295000,4500000,3700000,0,balanced,9,24,10000000,0.095,0.38
P076,Bengaluru,560000,375000,1500000,3900000,12000,balanced,9,18,10000000,0.095,0.38
P077,Chennai,340000,165000,5100000,800000,0,balanced,9,12,10000000,0.095,0.38
P078,Hyderabad,390000,185000,4100000,6100000,12000,conservative,12,24,10000000,0.07,0.32
P079,Hyderabad,430000,205000,6300000,11000000,0,conservative,12,24,10000000,0.07,0.32
P080,Bengaluru,410000,200000,4300000,900000,0,balanced,9,12,10000000,0.095,0.38
P081,Chennai,370000,180000,8300000,5100000,12000,growth,6,12,10000000,0.12,0.44
P082,Pune,610000,280000,3300000,3700000,8000,growth,6,18,10000000,0.12,0.44
P083,Mumbai,340000,160000,6700000,5700000,25000,balanced,9,6,10000000,0.095,0.38
P084,Hyderabad,350000,200000,8500000,9400000,8000,balanced,9,0,10000000,0.095,0.38
P085,Delhi NCR,400000,180000,3300000,600000,0,balanced,9,0,10000000,0.095,0.38
P086,Bengaluru,510000,290000,1000000,1000000,0,balanced,9,24,10000000,0.095,0.38
P087,Pune,380000,245000,8200000,1900000,0,balanced,9,6,10000000,0.095,0.38
P088,Mumbai,530000,350000,1300000,4700000,25000,conservative,12,18,10000000,0.07,0.32
P089,Mumbai,480000,295000,2200000,10400000,18000,growth,6,6,10000000,0.12,0.44
P090,Mumbai,600000,305000,7000000,6200000,0,conservative,12,12,10000000,0.07,0.32
P091,Hyderabad,540000,225000,5300000,3900000,18000,conservative,12,12,10000000,0.07,0.32
P092,Delhi NCR,620000,315000,3500000,11000000,0,growth,6,6,10000000,0.12,0.44
P093,Hyderabad,610000,260000,1900000,3700000,0,growth,6,24,10000000,0.12,0.44
P094,Pune,560000,240000,1100000,4800000,0,conservative,12,6,10000000,0.07,0.32
P095,Delhi NCR,640000,255000,2300000,2800000,12000,growth,6,24,10000000,0.12,0.44
P096,Chennai,160000,75000,7300000,8300000,8000,growth,6,6,10000000,0.12,0.44
P097,Bengaluru,290000,135000,6200000,4600000,8000,conservative,12,24,10000000,0.07,0.32
P098,Mumbai,350000,150000,5600000,9200000,25000,conservative,12,24,10000000,0.07,0.32
P099,Chennai,300000,115000,6700000,6900000,25000,conservative,12,12,10000000,0.07,0.32
P100,Chennai,460000,290000,2700000,6500000,0,conservative,12,18,10000000,0.07,0.32
P101,Bengaluru,500000,190000,2400000,9900000,0,conservative,12,6,10000000,0.07,0.32
P102,Mumbai,260000,115000,5900000,6300000,12000,balanced,9,6,10000000,0.095,0.38
P103,Hyderabad,570000,360000,2000000,6200000,25000,balanced,9,18,10000000,0.095,0.38
P104,Bengaluru,650000,395000,7200000,5600000,0,growth,6,24,10000000,0.12,0.44
P105,Bengaluru,190000,90000,1300000,8700000,18000,growth,6,0,10000000,0.12,0.44
P106,Delhi NCR,230000,100000,3000000,6000000,0,conservative,12,24,10000000,0.07,0.32
P107,Chennai,460000,265000,3600000,5600000,0,balanced,9,18,10000000,0.095,0.38
P108,Bengaluru,190000,80000,3000000,5600000,0,balanced,9,24,10000000,0.095,0.38
P109,Pune,540000,335000,7300000,5000000,0,conservative,12,24,10000000,0.07,0.32
P110,Hyderabad,520000,270000,4100000,800000,0,growth,6,0,10000000,0.12,0.44
P111,Pune,500000,230000,8000000,2800000,25000,balanced,9,6,10000000,0.095,0.38
P112,Chennai,400000,190000,6100000,7900000,8000,growth,6,12,10000000,0.12,0.44
P113,Hyderabad,210000,120000,5700000,5400000,0,conservative,12,18,10000000,0.07,0.32
P114,Bengaluru,320000,130000,7900000,10600000,25000,conservative,12,24,10000000,0.07,0.32
P115,Bengaluru,580000,310000,3100000,2600000,12000,conservative,12,24,10000000,0.07,0.32
P116,Mumbai,560000,315000,8500000,7600000,12000,growth,6,24,10000000,0.12,0.44
P117,Pune,370000,245000,6300000,10700000,12000,balanced,9,24,10000000,0.095,0.38
P118,Chennai,640000,310000,6600000,6100000,8000,conservative,12,6,10000000,0.07,0.32
P119,Delhi NCR,280000,160000,1900000,7600000,12000,balanced,9,24,10000000,0.095,0.38
P120,Pune,520000,305000,8100000,10800000,8000,growth,6,24,10000000,0.12,0.44
