strategy_id,profile_id,strategy_code,strategy_name,purchase_month,home_price,down_payment,loan_amount,loan_tenure_years,loan_interest_rate_annual,estimated_monthly_emi
P023_full_cash,P023,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P023_high_down_payment,P023,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P023_balanced_hybrid,P023,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P023_delay_build,P023,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P024_full_cash,P024,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P024_high_down_payment,P024,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P024_balanced_hybrid,P024,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P024_delay_build,P024,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P025_full_cash,P025,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P025_high_down_payment,P025,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P025_balanced_hybrid,P025,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P025_delay_build,P025,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P026_full_cash,P026,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P026_high_down_payment,P026,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P026_balanced_hybrid,P026,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P026_delay_build,P026,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P027_full_cash,P027,full_cash,Full Cash Purchase,12,10000000,10000000,0,0,0,0
P027_high_down_payment,P027,high_down_payment,High Down Payment,12,10000000,5000000,5000000,20,0.0875,44186
P027_balanced_hybrid,P027,balanced_hybrid,Balanced Hybrid,12,10000000,2500000,7500000,25,0.091,63454
P027_delay_build,P027,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P028_full_cash,P028,full_cash,Full Cash Purchase,12,10000000,10000000,0,0,0,0
P028_high_down_payment,P028,high_down_payment,High Down Payment,12,10000000,5000000,5000000,20,0.0875,44186
P028_balanced_hybrid,P028,balanced_hybrid,Balanced Hybrid,12,10000000,2500000,7500000,25,0.091,63454
P028_delay_build,P028,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P029_full_cash,P029,full_cash,Full Cash Purchase,24,10000000,10000000,0,0,0,0
P029_high_down_payment,P029,high_down_payment,High Down Payment,24,10000000,5000000,5000000,20,0.0875,44186
P029_balanced_hybrid,P029,balanced_hybrid,Balanced Hybrid,24,10000000,2500000,7500000,25,0.091,63454
P029_delay_build,P029,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P030_full_cash,P030,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P030_high_down_payment,P030,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P030_balanced_hybrid,P030,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P030_delay_build,P030,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P031_full_cash,P031,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P031_high_down_payment,P031,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P031_balanced_hybrid,P031,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P031_delay_build,P031,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P032_full_cash,P032,full_cash,Full Cash Purchase,12,10000000,10000000,0,0,0,0
P032_high_down_payment,P032,high_down_payment,High Down Payment,12,10000000,5000000,5000000,20,0.0875,44186
P032_balanced_hybrid,P032,balanced_hybrid,Balanced Hybrid,12,10000000,2500000,7500000,25,0.091,63454
P032_delay_build,P032,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P033_full_cash,P033,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P033_high_down_payment,P033,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P033_balanced_hybrid,P033,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P033_delay_build,P033,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P034_full_cash,P034,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P034_high_down_payment,P034,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P034_balanced_hybrid,P034,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P034_delay_build,P034,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P035_full_cash,P035,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P035_high_down_payment,P035,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P035_balanced_hybrid,P035,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P035_delay_build,P035,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P036_full_cash,P036,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P036_high_down_payment,P036,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P036_balanced_hybrid,P036,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P036_delay_build,P036,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P037_full_cash,P037,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P037_high_down_payment,P037,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P037_balanced_hybrid,P037,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P037_delay_build,P037,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P038_full_cash,P038,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P038_high_down_payment,P038,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P038_balanced_hybrid,P038,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P038_delay_build,P038,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P039_full_cash,P039,full_cash,Full Cash Purchase,12,10000000,10000000,0,0,0,0
P039_high_down_payment,P039,high_down_payment,High Down Payment,12,10000000,5000000,5000000,20,0.0875,44186
P039_balanced_hybrid,P039,balanced_hybrid,Balanced Hybrid,12,10000000,2500000,7500000,25,0.091,63454
P039_delay_build,P039,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P040_full_cash,P040,full_cash,Full Cash Purchase,24,10000000,10000000,0,0,0,0
P040_high_down_payment,P040,high_down_payment,High Down Payment,24,10000000,5000000,5000000,20,0.0875,44186
P040_balanced_hybrid,P040,balanced_hybrid,Balanced Hybrid,24,10000000,2500000,7500000,25,0.091,63454
P040_delay_build,P040,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P041_full_cash,P041,full_cash,Full Cash Purchase,24,10000000,10000000,0,0,0,0
P041_high_down_payment,P041,high_down_payment,High Down Payment,24,10000000,5000000,5000000,20,0.0875,44186
P041_balanced_hybrid,P041,balanced_hybrid,Balanced Hybrid,24,10000000,2500000,7500000,25,0.091,63454
P041_delay_build,P041,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P042_full_cash,P042,full_cash,Full Cash Purchase,24,10000000,10000000,0,0,0,0
P042_high_down_payment,P042,high_down_payment,High Down Payment,24,10000000,5000000,5000000,20,0.0875,44186
P042_balanced_hybrid,P042,balanced_hybrid,Balanced Hybrid,24,10000000,2500000,7500000,25,0.091,63454
P042_delay_build,P042,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P043_full_cash,P043,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P043_high_down_payment,P043,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P043_balanced_hybrid,P043,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P043_delay_build,P043,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P044_full_cash,P044,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P044_high_down_payment,P044,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P044_balanced_hybrid,P044,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P044_delay_build,P044,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P045_full_cash,P045,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P045_high_down_payment,P045,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P045_balanced_hybrid,P045,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P045_delay_build,P045,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P046_full_cash,P046,full_cash,Full Cash Purchase,12,10000000,10000000,0,0,0,0
P046_high_down_payment,P046,high_down_payment,High Down Payment,12,10000000,5000000,5000000,20,0.0875,44186
P046_balanced_hybrid,P046,balanced_hybrid,Balanced Hybrid,12,10000000,2500000,7500000,25,0.091,63454
P046_delay_build,P046,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P047_full_cash,P047,full_cash,Full Cash Purchase,12,10000000,10000000,0,0,0,0
P047_high_down_payment,P047,high_down_payment,High Down Payment,12,10000000,5000000,5000000,20,0.0875,44186
P047_balanced_hybrid,P047,balanced_hybrid,Balanced Hybrid,12,10000000,2500000,7500000,25,0.091,63454
P047_delay_build,P047,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P048_full_cash,P048,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P048_high_down_payment,P048,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P048_balanced_hybrid,P048,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P048_delay_build,P048,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P049_full_cash,P049,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P049_high_down_payment,P049,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P049_balanced_hybrid,P049,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P049_delay_build,P049,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P050_full_cash,P050,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P050_high_down_payment,P050,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P050_balanced_hybrid,P050,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P050_delay_build,P050,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P051_full_cash,P051,full_cash,Full Cash Purchase,12,10000000,10000000,0,0,0,0
P051_high_down_payment,P051,high_down_payment,High Down Payment,12,10000000,5000000,5000000,20,0.0875,44186
P051_balanced_hybrid,P051,balanced_hybrid,Balanced Hybrid,12,10000000,2500000,7500000,25,0.091,63454
P051_delay_build,P051,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P052_full_cash,P052,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P052_high_down_payment,P052,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P052_balanced_hybrid,P052,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P052_delay_build,P052,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P053_full_cash,P053,full_cash,Full Cash Purchase,24,10000000,10000000,0,0,0,0
P053_high_down_payment,P053,high_down_payment,High Down Payment,24,10000000,5000000,5000000,20,0.0875,44186
P053_balanced_hybrid,P053,balanced_hybrid,Balanced Hybrid,24,10000000,2500000,7500000,25,0.091,63454
P053_delay_build,P053,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P054_full_cash,P054,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P054_high_down_payment,P054,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P054_balanced_hybrid,P054,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P054_delay_build,P054,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P055_full_cash,P055,full_cash,Full Cash Purchase,24,10000000,10000000,0,0,0,0
P055_high_down_payment,P055,high_down_payment,High Down Payment,24,10000000,5000000,5000000,20,0.0875,44186
P055_balanced_hybrid,P055,balanced_hybrid,Balanced Hybrid,24,10000000,2500000,7500000,25,0.091,63454
P055_delay_build,P055,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P056_full_cash,P056,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P056_high_down_payment,P056,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P056_balanced_hybrid,P056,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P056_delay_build,P056,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P057_full_cash,P057,full_cash,Full Cash Purchase,12,10000000,10000000,0,0,0,0
P057_high_down_payment,P057,high_down_payment,High Down Payment,12,10000000,5000000,5000000,20,0.0875,44186
P057_balanced_hybrid,P057,balanced_hybrid,Balanced Hybrid,12,10000000,2500000,7500000,25,0.091,63454
P057_delay_build,P057,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P058_full_cash,P058,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P058_high_down_payment,P058,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P058_balanced_hybrid,P058,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P058_delay_build,P058,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P059_full_cash,P059,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P059_high_down_payment,P059,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P059_balanced_hybrid,P059,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P059_delay_build,P059,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P060_full_cash,P060,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P060_high_down_payment,P060,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P060_balanced_hybrid,P060,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P060_delay_build,P060,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P061_full_cash,P061,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P061_high_down_payment,P061,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P061_balanced_hybrid,P061,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P061_delay_build,P061,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P062_full_cash,P062,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P062_high_down_payment,P062,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P062_balanced_hybrid,P062,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P062_delay_build,P062,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P063_full_cash,P063,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P063_high_down_payment,P063,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P063_balanced_hybrid,P063,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P063_delay_build,P063,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P064_full_cash,P064,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P064_high_down_payment,P064,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P064_balanced_hybrid,P064,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P064_delay_build,P064,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P065_full_cash,P065,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P065_high_down_payment,P065,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P065_balanced_hybrid,P065,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P065_delay_build,P065,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P066_full_cash,P066,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P066_high_down_payment,P066,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P066_balanced_hybrid,P066,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P066_delay_build,P066,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P067_full_cash,P067,full_cash,Full Cash Purchase,12,10000000,10000000,0,0,0,0
P067_high_down_payment,P067,high_down_payment,High Down Payment,12,10000000,5000000,5000000,20,0.0875,44186
P067_balanced_hybrid,P067,balanced_hybrid,Balanced Hybrid,12,10000000,2500000,7500000,25,0.091,63454
P067_delay_build,P067,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P068_full_cash,P068,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P068_high_down_payment,P068,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P068_balanced_hybrid,P068,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P068_delay_build,P068,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P069_full_cash,P069,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P069_high_down_payment,P069,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P069_balanced_hybrid,P069,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P069_delay_build,P069,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P070_full_cash,P070,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P070_high_down_payment,P070,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
